07/12/20 13:51:53 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 13:51:56 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageDaemons.jsp?plugin_name=
07/12/20 13:51:58 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp?plugin_name=testmoussia
07/12/20 13:52:00 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp
07/12/20 13:52:06 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp
07/12/20 13:52:06 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp?view=manageUsers
07/12/20 13:52:19 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp?view=modifyUser&id=1
07/12/20 13:52:21 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp
07/12/20 13:52:21 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp?view=manageUsers
07/12/20 13:52:53 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp
07/12/20 13:53:45 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?plugin_name=
07/12/20 13:53:51 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/ManageProperties.jsp?plugin_name=
07/12/20 13:53:53 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ManagePageRole.jsp?plugin_name=
07/12/20 13:53:58 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/user/ManageUsers.jsp?plugin_name=
07/12/20 13:58:52 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 13:58:56 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageCaches.jsp?plugin_name=
07/12/20 13:58:57 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/search/ManageSearchIndexation.jsp?plugin_name=
07/12/20 13:59:01 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageFilesSystem.jsp?plugin_name=
07/12/20 13:59:03 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 13:59:07 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageDaemons.jsp?plugin_name=
07/12/20 13:59:15 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageDaemons.jsp?plugin_name=
07/12/20 13:59:17 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp?plugin_name=testmoussia
07/12/20 13:59:31 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/ManagePageTemplates.jsp?plugin_name=
07/12/20 13:59:37 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/CreatePageTemplate.jsp
07/12/20 13:59:43 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/ManagePageTemplates.jsp
07/12/20 14:00:00 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ManagePageRole.jsp?plugin_name=
07/12/20 14:00:03 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?plugin_name=
07/12/20 14:02:50 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?page_id=1&param_block=5
07/12/20 14:03:13 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?page_id=3
07/12/20 14:13:07 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ManagePageRole.jsp?plugin_name=
07/12/20 14:13:12 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?plugin_name=
